EmployeeID,FName,LName,DoB,Salary,Email,PhoneNo,JoiningDate,JobRole
1,Libbie,Sergean,11/11/75,"$7,382.61 ",lsergean0@blogger.com,989-567-3031,1/23/12,Salesperson
2,Adeline,Bendan,12/9/22,"$8,261.97 ",abendan1@ucsd.edu,592-424-1618,2/6/15,Salesperson
3,Shaylah,Knudsen,6/9/99,"$7,529.10 ",sknudsen2@ovh.net,898-537-6304,1/24/16,Salesperson
4,Barbee,Brandham,1/1/13,"$9,903.27 ",bbrandham3@parallels.com,794-625-4574,3/18/23,Salesperson
5,Marilee,Ludron,3/6/10,"$9,176.01 ",mludron4@toplist.cz,137-858-9011,9/17/12,Salesperson
6,Jarib,Roj,5/15/21,"$7,015.44 ",jroj5@google.de,717-635-8626,7/23/17,Salesperson
7,Lesley,Readshaw,3/26/86,"$8,134.69 ",lreadshaw6@g.co,428-777-0924,2/3/11,Salesperson
8,Blondell,Dautry,2/8/10,"$7,513.66 ",bdautry7@taobao.com,143-687-6433,4/14/14,Salesperson
9,Hew,Bolger,6/25/92,"$9,607.19 ",hbolger8@ft.com,191-908-4931,11/8/18,Manager
10,Suzette,Falvey,12/25/95,"$7,820.63 ",sfalvey9@hhs.gov,595-118-7946,9/1/13,Cashier
